Year,Player,GradStatus,School,Conference,Team,Round,PickNumber,Height,Weight,FortyYdSpr,JmpVert,BPress,BrJump,ThreeCone,RunShut,BMI,Player_Type,Position_Type,Position,Drafted,filter_$
2019,Myles Gaskin\GaskMy00,    2.00,Washington,AFC,MiamiDolphins,Late,234,1.7526,92.98643585,4.58,90.17,24,299.72,7.19,4.27,30.27289725,offense,backs_receivers,RB,Yes,1
2019,Alexander Mattison\MattAl01,    1.00,Boise St.,NFC,MinnesotaVikings,Middle,102,1.8034,100.2439138,4.67,88.9,22,322.58,7.13,4.29,30.82292742,offense,backs_receivers,RB,Yes,1
2019,Kris Boyd\BoydKr00,    2.00,Texas,NFC,MinnesotaVikings,Late,217,1.8034,91.17206637,4.45,92.71,19,322.58,6.94,4.08,28.03352222,defense,defensive_back,CB,Yes,1
2019,Irv Smith\SmitIr01,    1.00,Alabama,NFC,MinnesotaVikings,Early,50,1.8796,109.7693535,4.63,82.55,19,279.4,7.32,4.33,31.07064249,offense,backs_receivers,TE,Yes,1
2019,Bisi Johnson\JohnOl00,    1.00,Colorado St.,NFC,MinnesotaVikings,Late,247,1.8288,92.53284348,4.51,96.52,14,314.96,6.88,4.16,27.66708994,offense,backs_receivers,WR,Yes,1
2019,Dru Samia\SamiDr00,    1.00,Oklahoma,NFC,MinnesotaVikings,Middle,114,1.9558,138.3456729,5.29,69.85,28,256.54,7.89,4.7,36.16735061,offense,offensive_lineman,OT,Yes,1
2019,Ken Webster\WebsKe00,    2.00,Mississippi,AFC,NewEnglandPatriots,Late,252,1.8034,92.07925111,4.43,109.22,18,337.82,6.85,4.14,28.31246274,defense,defensive_back,CB,Yes,1
2019,Alize Mack\MackAl00,    1.00,Notre Dame,NFC,NewOrleansSaints,Late,231,1.9304,112.9445001,4.7,91.44,22,304.8,7.27,4.34,30.30892059,offense,backs_receivers,TE,Yes,1
2019,Darius Slayton\SlayDa01,    2.00,Auburn,NFC,NewYorkGiants,Middle,171,1.8542,86.1825503,4.39,102.87,11,342.9,7,4.15,25.06722089,offense,backs_receivers,WR,Yes,1
2019,Julian Love\LoveJu00,    1.00,Notre Dame,NFC,NewYorkGiants,Middle,108,1.8034,88.45051215,4.54,91.44,14,307.34,6.72,4.1,27.19670066,defense,defensive_back,CB,Yes,1
2019,Trevon Wesco\WescTr00,    2.00,West Virginia,AFC,NewYorkJets,Middle,121,1.905,121.1091628,4.89,78.74,24,297.18,7.18,4.38,33.37236938,offense,backs_receivers,TE,Yes,1
2019,Hunter Renfrow\RenfHu00,    2.00,Clemson,AFC,OaklandRaiders,Middle,149,1.778,83.46099608,4.59,88.9,7,294.64,6.8,4.19,26.40098013,offense,backs_receivers,WR,Yes,1
2019,Foster Moreau\MoreFo00,    1.00,LSU,AFC,OaklandRaiders,Middle,137,1.9304,114.7588696,4.66,92.71,22,307.34,7.16,4.11,30.79581088,offense,backs_receivers,TE,Yes,1
2019,Miles Sanders\SandMi01,    1.00,Penn St.,NFC,PhiladelphiaEagles,Early,53,1.8034,95.70799007,4.49,91.44,20,314.96,6.89,4.19,29.42822482,offense,backs_receivers,RB,Yes,1
