V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241166,V241167,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241450,V241459,V241463,V241471,V241501x,V241521,V241621,V243052
230990,3,1,1,5,1,1,3,5,5,2,3,3,3,1,3,1,3,3,2,1,1,70,20,3,2,3,3,3,4,5,5,5,3,2,1,1,3,3,0,1,4,1,1,0,2,DS
231031,3,2,1,5,1,2,2,2,5,3,1,1,1,2,2,2,2,2,2,2,2,40,60,5,4,5,5,3,2,3,3,2,2,2,1,1,2,3,0,6,2,1,1,0,2,DS
231189,4,2,1,5,1,1,1,1,1,4,4,3,3,2,4,3,4,4,2,2,1,70,60,2,3,2,2,3,5,5,4,5,4,2,2,1,4,2,0,3,4,2,1,0,2,DS
231407,2,2,1,5,1,2,1,2,2,1,5,5,5,1,5,1,5,5,2,2,2,40,90,5,5,5,5,5,1,2,2,3,2,1,1,1,4,3,0,3,2,1,5,0,2,DS
231466,2,2,1,2,1,2,1,2,2,1,5,5,5,1,5,1,5,5,2,2,2,25,85,5,5,5,5,5,1,1,2,3,1,1,1,1,3,2,0,1,2,2,1,0,2,DS
313020,2,1,1,5,1,1,2,1,1,4,2,3,1,3,2,2,2,3,1,1,1,85,30,2,3,2,2,2,4,4,4,4,4,2,2,2,4,2,2,1,4,1,1,1,1,DS
314336,1,2,1,5,1,2,1,2,2,4,4,5,4,2,4,1,5,4,2,2,2,15,70,5,5,2,5,2,1,1,1,2,1,1,1,1,2,1,1,4,2,1,1,0,1,DS
314703,4,1,1,5,1,2,1,5,5,3,3,3,3,2,3,1,3,4,2,2,2,60,70,3,3,1,5,4,1,1,1,3,1,1,2,1,2,2,3,6,2,1,3,1,3,DS
322982,3,2,1,5,1,2,3,5,5,2,3,2,3,2,3,3,3,3,2,2,2,50,60,4,5,3,4,3,3,5,2,4,2,2,1,2,3,2,4,6,2,1,1,2,3,DS
323876,2,1,1,1,1,1,1,1,1,3,4,3,3,3,4,1,4,5,1,1,1,85,15,2,2,2,2,1,5,5,5,5,4,1,1,1,3,2,2,1,4,1,1,1,2,DS
325529,2,1,2,5,1,1,1,1,5,5,3,5,5,3,2,3,2,4,1,1,1,60,49,1,1,1,1,1,3,5,4,5,3,2,1,3,3,3,0,6,2,1,1,0,2,DS
327381,2,1,2,5,1,1,1,5,5,3,4,1,2,3,4,2,2,4,1,1,1,85,15,3,1,2,3,3,4,3,4,5,3,2,2,2,4,2,2,6,2,1,1,1,2,DS
330139,3,2,1,5,1,2,1,2,2,1,4,5,5,1,5,2,5,5,2,2,2,15,85,5,5,2,4,2,2,2,2,3,1,1,1,1,2,3,1,1,2,1,1,0,2,DS
331265,2,2,1,5,1,2,1,2,5,1,1,4,3,1,3,3,4,3,2,2,2,50,50,5,5,5,5,2,2,2,4,4,2,2,1,1,2,2,1,6,2,1,1,0,2,DS
335760,1,2,1,2,1,2,1,2,2,3,5,4,4,2,5,3,4,5,2,2,2,10,40,5,5,4,5,2,1,1,2,2,1,1,1,1,2,2,6,1,2,1,1,4,2,DS
338430,2,1,1,5,1,2,1,5,5,1,4,3,3,2,4,2,3,3,2,2,1,15,85,5,5,3,4,3,2,2,1,1,2,2,1,1,2,3,2,6,2,1,6,1,1,DS
338980,4,1,1,5,1,2,2,2,2,1,3,3,4,1,5,1,5,4,2,2,2,50,70,3,3,4,3,4,3,4,4,3,2,2,1,1,3,3,1,3,1,2,1,0,3,DS
339808,1,2,1,5,1,1,1,1,5,2,3,1,2,2,4,1,4,3,1,2,1,60,50,4,5,2,5,2,5,5,4,5,4,3,1,1,3,2,1,1,4,1,1,0,2,DS
340910,3,1,1,1,1,1,1,1,1,2,2,3,2,3,3,3,3,2,1,1,1,60,40,3,2,2,2,1,5,4,4,5,2,1,1,2,3,2,3,1,5,1,1,2,2,DS
342842,4,1,1,1,1,1,1,1,1,2,3,3,3,2,3,2,4,3,1,2,1,60,30,2,3,2,3,1,4,5,3,5,3,2,1,1,3,3,1,1,6,1,1,0,2,DS
345337,2,1,2,5,1,1,2,5,5,2,2,2,3,2,5,1,4,5,1,2,1,40,30,2,3,3,4,2,2,5,5,5,2,1,1,1,2,2,1,1,4,1,1,0,2,DS
346443,1,1,1,1,1,1,1,1,1,3,2,3,4,3,3,3,4,4,1,2,1,60,15,2,2,2,3,2,5,5,5,5,5,1,1,1,2,2,0,3,5,1,1,0,3,DS
354122,4,1,1,5,1,1,3,2,5,3,2,3,3,2,2,1,2,2,2,2,2,30,15,2,2,3,3,3,2,4,4,5,2,2,1,1,2,3,0,6,1,2,1,0,2,DS
357747,1,2,1,5,1,2,1,2,2,1,5,5,5,1,5,1,5,5,2,2,2,15,85,5,5,5,5,4,1,1,1,1,1,1,1,1,3,2,1,6,2,1,1,0,3,DS
360275,1,2,1,5,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,50,60,5,4,3,4,4,2,3,2,3,2,1,2,2,4,2,2,1,3,1,1,0,1,DS
