V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241156,V241157,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241450,V241459,V241463,V241471,V241501x,V241567x,V241621,V243052
237495,3,2,1,2,1,2,1,2,2,2,3,3,3,1,4,2,4,3,2,2,2,0,70,5,5,5,4,1,2,1,3,3,2,1,1,1,2,2,0,4,2,1,1,80476,3,MT
237584,1,1,1,1,1,1,1,1,1,4,3,3,3,4,3,3,4,3,1,1,1,90,0,1,1,1,1,1,5,5,5,5,4,1,1,2,3,2,2,1,4,1,1,175173,2,MT
237602,3,1,1,1,1,1,1,1,1,3,3,5,5,2,4,3,4,4,1,1,1,70,0,2,2,1,3,2,3,5,5,5,4,1,1,1,3,3,3,1,4,1,3,187469,2,MT
237608,2,1,1,1,1,1,1,1,1,4,2,1,2,4,2,3,2,3,1,1,1,80,0,3,2,3,3,2,4,5,5,5,4,2,1,2,4,3,0,4,4,2,1,8479,1,MT
237626,3,2,1,1,1,1,1,1,1,2,5,4,4,1,5,1,5,5,1,1,1,85,0,2,1,1,2,2,5,5,5,5,3,1,1,1,2,3,3,6,5,1,1,326140,3,MT
237638,1,1,1,1,1,1,1,1,5,2,2,4,4,3,4,2,4,4,1,2,1,50,0,3,2,2,2,2,5,5,4,5,4,1,2,2,4,2,1,1,3,2,1,88163,2,MT
237650,2,1,1,2,1,1,2,1,5,2,1,1,1,4,1,4,2,2,1,1,1,85,0,1,1,1,1,1,5,5,5,5,5,1,1,1,4,3,2,1,4,2,3,191813,3,MT
237685,1,1,1,4,1,1,1,1,1,3,4,4,4,2,5,3,5,4,1,1,1,80,0,2,1,3,2,1,5,5,5,5,4,2,1,1,3,2,0,4,1,1,4,28279,4,MT
237703,4,1,1,2,1,1,1,1,1,3,2,1,1,2,2,2,2,1,1,1,1,75,15,2,2,2,2,2,5,5,2,5,2,1,2,1,4,2,3,1,4,1,1,236286,2,MT
237721,3,2,1,2,1,2,1,2,2,2,3,4,3,2,3,2,3,4,2,2,2,30,85,5,4,3,3,2,1,2,2,2,2,1,2,2,4,2,0,3,4,2,1,269176,3,MT
237739,4,2,1,4,1,2,1,2,2,3,3,4,4,2,3,2,3,4,2,2,2,15,95,5,5,5,5,4,2,2,2,3,2,1,1,1,2,3,0,1,2,1,1,89830,2,MT
237780,2,1,1,2,1,1,1,1,1,3,3,3,3,2,4,2,4,4,1,1,1,95,0,2,2,2,2,1,5,5,5,5,5,1,1,1,3,4,1,1,3,1,6,48866,4,MT
238342,2,1,1,1,1,1,1,1,1,3,3,4,3,2,3,3,4,3,1,1,1,85,0,2,2,2,4,1,4,5,3,5,2,1,1,2,3,2,2,1,2,2,1,36065,2,MT
238348,3,1,1,1,1,1,1,1,1,2,3,3,2,1,4,2,3,4,2,1,1,85,0,3,3,3,4,3,5,5,5,5,4,1,1,1,3,4,0,1,4,1,6,44512,3,MT
238486,2,1,1,4,1,2,2,1,5,1,5,5,5,1,4,1,5,4,2,2,2,0,85,5,4,4,4,4,1,2,2,3,2,2,1,1,2,4,0,6,2,2,1,22740,3,MT
238522,2,1,1,4,1,1,1,5,5,1,3,3,4,4,4,3,5,4,1,1,2,70,0,2,2,2,3,3,5,5,5,5,5,3,1,1,2,4,6,1,2,2,3,3803,1,MT
238775,3,1,1,1,1,2,2,2,5,3,3,3,4,3,4,1,3,3,2,2,2,40,60,4,4,3,4,3,3,4,3,4,4,2,1,2,2,3,0,4,2,1,3,27138,3,MT
238869,1,1,1,5,1,1,1,1,2,3,2,2,3,2,3,2,4,4,1,2,1,80,15,2,4,2,3,1,4,5,4,5,2,1,1,2,4,2,0,6,5,1,1,86015,4,MT
238959,2,1,1,1,1,1,2,5,1,3,3,2,2,3,2,3,2,2,1,1,1,40,0,1,1,1,1,1,5,5,1,5,5,1,2,2,4,3,2,1,2,2,1,59645,2,MT
239012,4,2,1,2,1,2,1,2,2,2,5,5,5,2,5,2,5,5,2,2,2,15,90,5,5,4,5,4,2,2,2,3,1,2,2,1,2,4,1,1,3,1,1,7474,1,MT
239125,2,2,1,5,1,2,1,2,2,1,5,5,5,1,5,1,5,5,2,2,2,1,85,5,5,5,5,4,2,2,3,3,3,1,1,1,3,2,1,1,2,2,1,84630,4,MT
239172,4,1,1,4,1,2,1,2,2,3,1,1,1,2,2,2,1,2,2,2,1,50,60,4,5,4,5,4,4,4,3,5,2,2,1,2,4,2,1,4,3,1,1,90609,3,MT
239255,2,1,1,4,1,2,1,2,2,2,4,4,4,2,4,1,4,4,2,2,2,15,60,3,4,3,4,3,2,1,3,3,1,2,1,1,3,3,1,1,2,1,1,42795,3,MT
239340,1,1,1,4,1,1,1,1,1,5,4,3,5,3,4,4,4,3,1,1,1,70,0,3,4,1,2,1,5,5,5,5,4,1,1,2,4,2,4,1,4,2,1,336070,1,MT
239352,3,1,1,1,1,1,1,1,5,3,2,1,2,3,2,3,2,2,1,1,1,85,0,1,1,1,1,1,5,5,5,5,2,2,1,1,3,2,2,4,3,1,1,93922,2,MT
239405,4,2,1,2,1,2,1,2,2,4,3,4,4,1,3,2,4,3,2,2,2,0,100,5,5,5,5,5,1,2,2,3,3,1,1,1,2,5,1,1,5,1,1,5131,4,MT
239519,3,2,1,4,1,2,2,2,2,2,4,3,3,2,3,3,4,4,2,2,2,20,75,5,4,3,4,3,2,2,2,2,2,1,1,2,4,2,3,1,4,1,1,300797,4,MT
239634,2,1,1,4,1,1,1,1,5,2,2,1,1,2,2,1,2,2,1,1,1,90,0,2,2,1,2,2,5,5,5,5,2,2,1,1,4,2,0,4,4,2,1,47695,1,MT
239870,4,1,1,1,1,1,1,1,1,1,4,4,4,1,5,1,5,5,2,2,1,75,0,2,3,2,3,2,5,5,5,5,2,1,1,1,2,2,0,6,4,1,3,34564,5,MT
239899,2,1,1,4,1,1,1,1,1,4,4,4,4,2,4,2,4,4,1,2,2,100,0,1,2,1,2,1,5,5,5,5,5,1,1,2,4,3,1,1,3,2,1,32755,3,MT
