Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2014,12,Female,18,Right-Handed,162.6,21,161,3,Bus,40,0.301,67,Basketball,400,550,450,565,600,850,23,Left foot,90,80.5,Index finger,July,Summer,Yes,No,Desserts,Water,English,6.5,7.5,4,Yes - broadband connection,Text messaging,110,120,6,3,7,4,13,0,2,15,8,0,0,0,Some,Graduate degree,Rap/Hip hop,Telepathy,Happy,Relative,Education/Youth development
USA,CA,2022,12,Female,17,Right-Handed,174,25,160,1,Car,30,2.4,32,Walking/Hiking,1000,900,950,900,200,700,25,Same length,80,84,Ring finger,March,Summer,No,No,Fruit,Water,Languages,7,6,4,Yes - broadband connection,Text messaging,20,18,4,1,3,16,7,1,5,3,1,4,0,7,A lot,Graduate degree,Other,Telepathy,Rich,Relative,Health
USA,CA,2020,12,Female,17,Right-Handed,162.6,24,161,1,Car,6,0.594,47,Dancing,1000,487,497,406,294,775,24,Same length,69,68,Index finger,February,Summer,No,No,Seafood,Juice,English,6,7,2,Yes - other,Cell phone,998,300,10,20,10,10,10,10,10,15,20,5,0,7,Some,Less than high school,Pop,Invisibility,Healthy,Other,Religious
USA,CA,2018,12,Female,17,Right-Handed,165,25,165,3,Car,15,0.445,49,Other,1000,930,1000,930,465,674,26,Left foot,80,80,Same length,December,Summer,No,No,No favorite,Water,English,6,9,4,Yes - broadband connection,In person,11,511,13,3,20,10,0,0,14,3,15,4,40,2,A lot,Other,Rap/Hip hop,Invisibility,Happy,Actor,International aid
USA,CA,2015,12,Female,17,Right-Handed,152.4,32,150,1,Car,20,0.474,44,Other,1000,1000,500,700,600,600,32,Same length,80,80,Same length,December,Summer,No,No,Seafood,Tea,History,6,3,3,Yes - broadband connection,Text messaging,1000,1100,10,2,25,40,15,0,5,24,15,0,0,15,Some,Graduate degree,Rhythm and blues (R&B),Freeze time,Happy,Musician or singer,Health
USA,GA,2022,12,Male,17,Right-Handed,170,25,171,1,Car,10,0.372,30,Tennis,600,600,300,100,1000,1000,26,Left foot,78,83,Same length,May,Winter,No,No,Seafood,Water,Mathematics and statistics,7,9,4,Yes - broadband connection,In person,8,8,10,1,4,2,10,3,4,1,30,2,2,4,Some,Undergraduate degree,Other,Telepathy,Happy,Community leader or elder,Religious
USA,CA,2018,11,Male,17,Left-Handed,175.3,29,174,1,Bicycle,10,0.254,41,Table Tennis,578,650,670,720,900,800,29,Same length,70,69,Index finger,September,Winter,No,No,Meat,Water,Computers and technology,8,9,4,Yes - broadband connection,Text messaging,16,21,4,0,10,3,2,5,0,1,8,0,10,1,A lot,Graduate degree,Classical,Fly,Happy,Friend,Religious
USA,CA,2019,12,Male,17,Right-Handed,172,26,182,1,Car,15,0.317,41,Football (American),800,700,650,650,400,600,26,Same length,80,85,Ring finger,May,Winter,No,No,Meat,Juice,Computers and technology,6,9,4,Yes - broadband connection,Text messaging,120,130,3,0.2,12,1,18,8,4,2,10,0,0,2,A lot,Graduate degree,Other,Fly,Happy,Friend,"Wildlife, animals"
USA,GA,2011,12,Male,18,Right-Handed,179,25,178,1,Car,27,0.298,50,Baseball/Softball,450,350,500,350,200,100,25,Same length,80,76.2,Index finger,March,Spring,No,No,Pizza/Pasta,Tea,Science,7.5,11.5,5,Yes - broadband connection,Text messaging,200,200,9,2.5,12.5,3,20,3,3,6,4,2,25,2,Some,Graduate degree,Country,Fly,Happy,Sports person,International aid
USA,CA,2023,12,Male,17,Left-Handed,194,29.5,201,1,Car,10,0.695,58,Other,300,300,600,300,1000,1000,28.5,Right foot,83,90,Ring finger,July,Winter,Yes,No,Rice/Noodle dishes,Water,Social studies,6.5,9,3,Yes - broadband connection,Other,100,200,28,28,7,3,12,35,0,28,28,0,16,0,Very little,Graduate degree,Rap/Hip hop,Super strength,Happy,Friend,Education/Youth development
