Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours
USA,TN,2020,6,Female,11,Right-Handed,158.7,22,157,1,Car,10,0.432,48,Other,800,850,750,700,0,50,21,Right foot,70,60,Index finger,June,Summer,No,No,No favorite,Water,English,7,8,3,Yes - broadband connection,In person,22,40,7,10,5,3,2,3,0,1,2
USA,CT,2020,12,Female,17,Right-Handed,180,28,187,1,Car,13,0.406,37,None,800,700,800,900,200,300,27,Right foot,90,93,Index finger,May,Summer,No,No,Pizza/Pasta,Juice,History,7,10,2,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",30,34,10,1,6,2,1,1,15,3,20
USA,TN,2020,6,Male,11,Right-Handed,149,22,142,2,Car,6,0.429,50,Athletics,500,600,700,500,900,900,22,Right foot,90,7.5,Ring finger,August,Summer,Yes,No,Pizza/Pasta,Water,Art,7,6,3.5,Yes - other,In person,0,0,35,0,2,10,1,8,0,1,10
USA,TN,2020,12,Male,17,Right-Handed,180,26.3,143,1,Car,10,0.552,40,Walking/Hiking,1000,1000,1000,1000,300,450,26,Right foot,94,9.9,Ring finger,September,Fall,Yes,No,Salads,Water,Computers and technology,6,7,7,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",15,15,4,5,8,6,3,5,3,3,30
USA,TN,2020,6,Female,11,Right-Handed,500,22,157,1,Car,30,1.048,65,Basketball,60,50,40,30,20,10,18,Right foot,80,70,Index finger,November,Summer,No,No,Poultry,Soft drink (non-caffeinated),English,10,4,6,Yes - dial-up connection,Other,1,2,8,7,2,8,5,10,10,10,10
USA,TN,2020,12,Female,17,Right-Handed,160,21,150,1,Car,20,0.43,35,None,1000,600,800,900,500,700,20,Right foot,80,65,Index finger,April,Fall,Yes,No,Seafood,Tea,English,7,5,6,Yes - other,Cell phone,20,7,6,3,4,5,0,10,4,10,20
USA,CT,2020,12,Female,16,Right-Handed,165,23,150,1,Car,13,0.423,52,Basketball,900,900,750,600,250,300,24,Left foot,81,73,Index finger,October,Fall,No,No,Rice/Noodle dishes,Water,Science,6,8,5,Yes - broadband connection,Text messaging,10,50,20,0,40,10,10,0,20,3,10
USA,CT,2020,12,Male,18,Right-Handed,188,35,195,1,Car,20,0.3,33,Football (American),100,400,300,700,800,1000,34,Right foot,100,90,Index finger,August,Fall,Yes,No,Meat,Soft drink (caffeinated),Other,8,10,4,Yes - other,Cell phone,70,125,12,1,0,10,28,5,2,1,10
USA,TN,2020,6,Male,11,Right-Handed,152.4,24,165,1,Car,20,0.334,72,Athletics,1000,750,500,500,0,0,25,Left foot,70,85,Ring finger,March,Spring,No,No,No favorite,Water,Computers and technology,5,4,5,Yes - other,In person,0,1,0,0,8,3,5,3,4,0,2
USA,TN,2020,6,Male,11,Right-Handed,152.4,24,165,1,Car,20,0.334,72,Athletics,1000,750,500,500,0,0,25,Left foot,70,85,Ring finger,March,Spring,No,No,No favorite,Water,Computers and technology,5,4,5,Yes - other,In person,80,75,15,25,3,3,12,5,1,15,10
USA,CT,2020,12,Female,17,Ambidextrous,60,25,151,2,Bus,30,0.4,47,Swimming,1000,1000,1000,845,500,600,25,Same length,73,68,Index finger,December,Spring,Yes,No,Fruit,Tea,Music,6,8,5,Yes - broadband connection,In person,0,1,5,1,15,20,15,1,1,0,15
USA,CT,2020,12,Male,16,Right-Handed,170,27,175,1,Car,5,0.47,45,Tennis,1000,950,900,900,400,400,26,Right foot,72,74,Ring finger,December,Winter,Yes,No,Pizza/Pasta,Juice,Mathematics and statistics,7,9,5,Yes - broadband connection,Text messaging,15,16,5,7,10,3,3,9,2,3,20
USA,TN,2020,6,Female,12,Left-Handed,149.8,22,157,1,Car,15,0.771,48,Basketball,10,30,500,4,11,8,22,Same length,90,80,Index finger,October,Fall,No,No,Seafood,Water,Other,7,3,4,Yes - other,Cell phone,10,5,0,5,3,5,1,5,0,0,0
USA,TN,2020,12,Male,17,Right-Handed,177,30,180,1,Car,10,0.41,39,Skateboarding/Rollerblading,246,476,250,250,850,1000,30,Same length,95,98,Ring finger,July,Summer,No,No,Pizza/Pasta,Water,Physical education,8,9,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",0,0,0,0,60,50,10,0,80,0,120
USA,TN,2020,12,Male,17,Right-Handed,171,28,192,1,Car,13,0.2222,45,Basketball,500,500,500,500,500,500,26,Right foot,12,12,Ring finger,December,Winter,No,No,Meat,Water,Geography,3,3,5,Yes - broadband connection,Telephone,80,75,15,25,3,3,12,5,1,15,10
USA,TN,2020,6,Female,11,Left-Handed,159,22,152,3,Car,15,0.392,51,Athletics,100,200,800,700,30,100,21,Right foot,60,50,Index finger,May,Fall,No,No,Seafood,Tea,Art,7.5,8.5,4,Yes - other,In person,2,9,7,0,7,5,7,2,2,7,1
USA,TN,2020,12,Male,17,Right-Handed,180,69,169,1,Car,20,0.22,46,Other,1000,1000,1000,1000,1000,1000,69,Same length,69,69,Index finger,October,Winter,No,No,Meat,Water,Other,5,5,3,Yes - broadband connection,Internet chat or instant messaging,0,0,0,0,0,0,0,0,0,0,0
USA,TN,2020,6,Male,12,Right-Handed,157.4,25,165.5,4,Car,8,0.318,39,Basketball,450,500,650,500,350,750,23,Right foot,70,70,Same length,March,Summer,Yes,No,Pizza/Pasta,Water,Music,8,5,3,Yes - broadband connection,In person,0,2,45,5,7,2,1,75,40,1,75
USA,TN,2020,12,Male,18,Right-Handed,170,24,161,1,Car,15,0.663,41,Football (American),950,800,700,600,800,800,24,Same length,65,40,Index finger,October,Summer,No,No,Pizza/Pasta,Water,History,6,8,3,Yes - other,In person,80,75,15,25,3,3,12,5,1,15,10
USA,TN,2020,6,Female,11,Right-Handed,164,22,166,1,Car,5,0.65,32,Swimming,0,100,0,10,100,10,25,Left foot,80,7,Index finger,July,Summer,No,No,Other,Water,Art,7,5,4,Yes - dial-up connection,In person,4,5,1,1,8,38,30,20,10,0,10
USA,CT,2020,12,Male,17,Right-Handed,177,39,181,1,Car,17,0.346,47,Football (American),556,449,524,658,706,775,30,Same length,82,88,Ring finger,October,Summer,Yes,No,Pizza/Pasta,Water,English,6,5,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",150,150,6,0,2,7,3,2,6,6,3
USA,TN,2020,12,Female,17,Right-Handed,152,24,158,1,Bus,30,0.486,41,Dancing,1000,1000,1000,1000,500,1000,24,Same length,80,80,Same length,August,Winter,Yes,Yes,Fruit,Water,Music,6,7,8,Yes - broadband connection,In person,50,50,5,2,3,3,1,0,4,3,3
