V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241156,V241157,V241158,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241450,V241458x,V241459,V241463,V241471,V241501x,V241621,V243052
326904,1,1,1,1,1,1,1,1,1,4,3,2,2,3,3,5,3,3,1,1,1,100,0,100,1,1,1,1,1,5,5,5,5,4,1,2,2,3,2,1,64,1,4,1,1,1,PA
328123,5,2,1,5,1,1,5,2,2,2,3,3,4,5,3,5,1,4,2,2,2,15,60,15,4,1,1,1,3,1,4,1,3,3,1,2,3,3,4,4,54,1,4,1,2,3,PA
330824,2,1,1,2,1,1,1,1,1,3,5,4,4,3,4,3,5,4,1,1,1,85,0,70,1,2,1,2,1,5,5,5,5,4,1,1,1,2,2,2,40,1,2,1,1,3,PA
331304,1,1,1,1,1,1,2,1,1,2,1,3,3,3,3,1,3,1,1,2,2,60,0,60,3,3,2,4,3,5,5,5,5,4,1,1,1,4,2,2,50,1,5,2,3,1,PA
335830,2,2,1,5,1,1,1,1,1,2,2,2,2,3,2,1,5,2,2,2,1,30,15,15,5,2,5,3,2,5,5,5,5,3,1,1,1,4,2,0,45,6,3,1,1,3,PA
338080,2,2,1,1,1,1,1,1,1,3,4,3,3,3,4,3,3,3,2,2,1,50,30,60,4,2,2,2,2,3,5,4,5,3,1,1,2,4,2,3,49,1,4,1,1,2,PA
339850,4,1,1,2,1,2,2,2,2,2,4,3,4,3,4,1,4,4,2,2,2,60,85,30,4,3,2,4,3,2,4,2,5,3,3,2,2,3,2,1,33,6,2,1,6,3,PA
344543,3,1,1,1,1,1,1,1,1,3,3,3,1,3,2,4,3,4,1,2,2,50,0,85,2,3,2,3,2,4,4,4,5,4,1,2,1,4,2,1,72,3,1,2,3,3,PA
349381,2,2,1,1,1,2,1,5,5,1,3,1,3,3,4,1,4,4,2,2,2,15,85,30,5,5,5,5,4,2,2,3,1,1,3,1,1,3,2,0,69,4,1,2,6,1,PA
350747,4,2,1,4,1,2,1,2,5,3,1,3,3,2,1,2,2,1,2,2,2,0,70,0,5,5,5,5,1,3,2,3,3,1,2,1,1,2,3,1,22,6,3,1,4,1,PA
356134,2,1,1,1,1,1,1,1,1,3,3,3,3,2,3,2,3,3,1,1,-9,80,0,60,2,2,2,2,1,5,5,5,5,4,1,1,2,3,2,3,41,1,4,1,3,2,PA
357680,3,1,1,5,1,1,1,1,1,5,3,2,1,3,3,3,3,2,1,2,1,100,0,100,1,1,1,1,1,5,5,5,5,5,1,2,2,4,2,1,65,1,4,1,1,1,PA
359989,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,100,0,85,1,1,1,2,1,5,5,5,5,4,2,2,2,4,3,1,70,1,3,2,1,1,PA
362976,3,1,1,2,1,1,1,5,5,3,3,1,3,1,4,2,4,3,1,1,1,70,0,70,2,2,2,2,2,3,5,4,5,3,1,2,2,4,2,1,66,1,4,1,1,1,PA
365558,3,1,1,4,1,1,1,1,1,3,3,3,1,3,4,2,3,4,1,1,1,100,9,85,2,3,1,2,2,5,5,5,5,5,2,1,2,3,3,2,65,1,2,2,3,3,PA
368836,1,2,1,5,1,2,1,5,2,2,3,4,4,2,4,2,4,3,2,2,2,15,30,15,5,5,4,3,3,4,3,5,5,2,2,1,2,3,4,3,48,1,3,1,1,2,PA
376557,1,1,1,1,1,1,1,1,1,4,1,1,1,4,2,4,2,1,1,1,1,95,0,95,1,2,2,2,1,3,5,5,5,2,1,2,2,4,2,0,54,3,6,1,6,1,PA
377978,2,2,1,2,1,2,1,2,2,1,5,4,4,1,4,1,4,4,2,2,2,0,70,15,5,4,4,4,3,2,3,2,2,2,2,1,1,3,3,0,69,3,3,2,1,2,PA
379936,4,2,1,5,1,2,1,2,5,2,4,4,4,3,4,2,5,4,2,2,2,0,70,15,5,4,5,5,4,2,3,3,3,2,1,1,1,2,2,2,63,4,2,1,6,3,PA
381027,4,2,1,1,1,1,1,5,1,1,3,2,3,2,4,1,5,4,2,1,1,60,0,40,2,3,2,1,2,3,5,4,5,5,2,1,1,2,3,0,27,6,3,1,1,2,PA
389494,3,1,1,2,1,2,1,2,5,2,2,1,3,2,2,3,2,3,2,2,2,15,70,15,5,4,4,4,2,2,3,2,4,2,1,1,2,3,2,2,56,1,3,1,1,2,PA
391904,1,2,1,2,1,2,1,2,2,1,5,5,5,1,5,1,5,5,2,2,2,0,100,15,4,5,3,4,2,1,1,1,1,1,2,1,1,3,2,1,83,3,2,2,1,2,PA
393820,2,1,1,4,1,1,1,1,1,3,3,3,3,3,3,2,4,3,1,1,1,85,0,90,2,2,2,2,1,5,5,4,5,4,1,1,2,4,2,0,59,6,5,1,1,2,PA
