Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,OH,2019,12,Male,18,Right-Handed,175,25,175,1,Car,15,0.392,45,Soccer,898,909,893,909,246,845,25,Same length,90,90,Same length,August,Fall,Yes,No,No favorite,Water,History,7,9,5,Yes - broadband connection,Internet chat or instant messaging,20,20,0,1,0,6,9,25,15,1,15,10,0,5,Very little,Graduate degree,Other,Telepathy,Rich,Sports person,Environment
USA,FL,2019,12,Female,17,Left-Handed,168,23,168,1,Car,20,0.812,58,None,1000,500,700,900,300,0,23,Same length,95,85,Index finger,December,Winter,No,No,Seafood,Water,Mathematics and statistics,4,8,4,Yes - other,Internet chat or instant messaging,50,100,60,10,7,7,0,0,70,24,84,6,12,0,A lot,Graduate degree,Rap/Hip hop,Invisibility,Happy,Relative,Education/Youth development
USA,FL,2016,11,Male,17,Right-Handed,175,26,169,1,Walk,10,0.797,50,Walking/Hiking,536,530,626,530,425,516,26,Same length,90,90,Same length,November,Winter,No,No,No favorite,Water,Other,9,9,5,Yes - other,In person,0,0,5,0,3,2,2,3,4,1,3,3,0,5,Some,Other,Other,Fly,Happy,Relative,International aid
USA,OH,2018,12,Female,17,Right-Handed,162,20,168,2,Car,2,0.369,43,Dancing,999,500,600,650,200,400,23,Left foot,75,72.5,Index finger,January,Spring,No,No,Vegetables,Milk,History,6,9,10,Yes - broadband connection,Internet chat or instant messaging,40,30,4,1,0,5,1,0,15,2,0,15,20,10,Very little,Graduate degree,Pop,Telepathy,Healthy,Relative,International aid
USA,OH,2019,12,Male,18,Right-Handed,183,28.5,165,1,Car,12,0.379,65,Other,0,0,0,0,0,1000,28.5,Same length,95,100,Ring finger,September,Winter,Yes,No,Meat,Soft drink (caffeinated),Other,9,8,4,Yes - broadband connection,Cell phone,2,3,8,2,0,10,100,0,24,8,20,0,3,100,Very little,Undergraduate degree,Country,Super strength,Happy,Other,Health
USA,FL,2014,12,Female,17,Right-Handed,170,36,168,1,Car,25,0.462,45,Walking/Hiking,711,235,139,503,679,927,35,Right foot,79,75,Index finger,October,Winter,No,No,Meat,Water,History,7,5,4,Yes - broadband connection,Cell phone,300,400,10,1,2,5,5,0,15,3,15,8,20,2,Some,Undergraduate degree,Rock and roll,Telepathy,Happy,Friend,International aid
USA,OH,2023,7,Male,12,Ambidextrous,172,26,156,1,Bus,8,0.361,50,Soccer,701,348,1000,647,294,802,25,Same length,100,100,Same length,May,Winter,Yes,No,Other,Soft drink (caffeinated),Social studies,9,6,5,Yes - other,In person,3,502,13,2,24,31,8,3,0,1,33,13,0,4,Some,Other,Other,Freeze time,Healthy,Relative,Other
USA,OH,2023,8,Male,14,Right-Handed,162,26,163,2,Car,20,0.382,35,Baseball/Softball,695,209,551,636,401,481,26,Same length,75,80,Ring finger,September,Winter,Yes,No,Meat,Water,Mathematics and statistics,9,10,5,Yes - broadband connection,Text messaging,10,20,4,1,8,20,10,9,15,2,36,4,0,7,Some,Graduate degree,Rap/Hip hop,Invisibility,Rich,Sports person,Education/Youth development
USA,OH,2019,12,Female,18,Right-Handed,165.1,23,100,1,Car,5,0.566,64,Baseball/Softball,465,738,973,651,1000,1000,18,Same length,70,50,Index finger,July,Fall,No,No,Poultry,Water,Computers and technology,8,6,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",13,12,10,1,8,10,1,7,8,25,9,13,15,6,Some,Some college,Country,Telepathy,Healthy,Relative,Health
USA,OH,2023,4,Male,10,Right-Handed,152,26,151,1,Bus,50,2.31,62,Soccer,1000,909,503,925,53,155,35,Same length,71,71,Same length,October,Winter,Yes,No,Pizza/Pasta,Water,Computers and technology,11,9,5,Yes - other,In person,0,0,12,0,0,1,3,30,0,0,10,0,0,2,Some,Other,Rock and roll,Freeze time,Happy,Other,Religious
